id,insert_time,create_time,last_modify_time,personid,courseid,clazzid,type,fid
"","	2022-05-01 00:00:08	","	2022-05-01 00:00:08	","	2022-05-01 00:00:08	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:00:08	","	2022-05-01 00:00:08	","	2022-05-01 00:00:08	","	147380239	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:00:15	","	2022-05-01 00:00:15	","	2022-05-01 00:00:15	","	111949227	","	222602451	","	50522391	","	accesslog	",1727
"","	2022-05-01 00:00:40	","	2022-05-01 00:00:40	","	2022-05-01 00:00:40	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:00:40	","	2022-05-01 00:00:40	","	2022-05-01 00:00:40	","	147393619	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:01:16	","	2022-05-01 00:01:16	","	2022-05-01 00:01:16	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:01:16	","	2022-05-01 00:01:16	","	2022-05-01 00:01:16	","	147385941	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:01:42	","	2022-05-01 00:01:42	","	2022-05-01 00:01:42	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:01:42	","	2022-05-01 00:01:42	","	2022-05-01 00:01:42	","	147385718	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:02:08	","	2022-05-01 00:02:08	","	2022-05-01 00:02:08	","	111949227	","	222602451	","	50522391	","	accesslog	",1727
"","	2022-05-01 00:02:15	","	2022-05-01 00:02:15	","	2022-05-01 00:02:15	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:02:15	","	2022-05-01 00:02:15	","	2022-05-01 00:02:15	","	147391056	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:04:14	","	2022-05-01 00:04:14	","	2022-05-01 00:04:14	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:04:14	","	2022-05-01 00:04:14	","	2022-05-01 00:04:14	","	147393788	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:05:03	","	2022-05-01 00:05:03	","	2022-05-01 00:05:03	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:05:03	","	2022-05-01 00:05:03	","	2022-05-01 00:05:03	","	147393601	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:06:00	","	2022-05-01 00:06:00	","	2022-05-01 00:06:00	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:06:00	","	2022-05-01 00:06:00	","	2022-05-01 00:06:00	","	147386247	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:06:31	","	2022-05-01 00:06:31	","	2022-05-01 00:06:31	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:06:31	","	2022-05-01 00:06:31	","	2022-05-01 00:06:31	","	147392949	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:07:04	","	2022-05-01 00:07:04	","	2022-05-01 00:07:04	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:07:04	","	2022-05-01 00:07:04	","	2022-05-01 00:07:04	","	147392428	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:07:39	","	2022-05-01 00:07:39	","	2022-05-01 00:07:39	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:07:39	","	2022-05-01 00:07:39	","	2022-05-01 00:07:39	","	147393192	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:08:47	","	2022-05-01 00:08:47	","	2022-05-01 00:08:47	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:08:47	","	2022-05-01 00:08:47	","	2022-05-01 00:08:47	","	153867182	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:09:32	","	2022-05-01 00:09:32	","	2022-05-01 00:09:32	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:09:32	","	2022-05-01 00:09:32	","	2022-05-01 00:09:32	","	147385846	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:10:08	","	2022-05-01 00:10:08	","	2022-05-01 00:10:08	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:10:08	","	2022-05-01 00:10:08	","	2022-05-01 00:10:08	","	147388843	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:10:41	","	2022-05-01 00:10:41	","	2022-05-01 00:10:41	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:10:41	","	2022-05-01 00:10:41	","	2022-05-01 00:10:41	","	147388330	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:11:17	","	2022-05-01 00:11:17	","	2022-05-01 00:11:17	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
"","	2022-05-01 00:11:17	","	2022-05-01 00:11:17	","	2022-05-01 00:11:17	","	147393341	","	224922228	","	55853631	","	workscore	",1727
"","	2022-05-01 00:11:49	","	2022-05-01 00:11:49	","	2022-05-01 00:11:49	","	224875911	","	224922228	","	55853631	","	piyuework	",1727
